model_profile,baseline,reserve_target_mb,runs,reserve_pass_rate,mean_visual_tokens,mean_peak_memory_mb,mean_adapter_memory_mb,mean_latency_proxy_ms
compact_7b_4bit,B0,2048,2,1.0,800,9496.0,0.0,50.8
compact_7b_4bit,B0,4096,2,1.0,800,9496.0,0.0,50.8
compact_7b_4bit,B0,6144,2,1.0,800,9496.0,0.0,50.8
compact_7b_4bit,B1,2048,2,1.0,7346,13554.52,0.0,122.81
compact_7b_4bit,B1,4096,2,1.0,7346,13554.52,0.0,122.81
compact_7b_4bit,B1,6144,2,1.0,7346,13554.52,0.0,122.81
compact_7b_4bit,B2,2048,12,1.0,3200,10984.0,0.0,77.2
compact_7b_4bit,B2,4096,12,1.0,3200,10984.0,0.0,77.2
compact_7b_4bit,B2,6144,12,1.0,3200,10984.0,0.0,77.2
compact_7b_4bit,B4-lite,2048,144,1.0,3200,13780.0,2700,119.2
compact_7b_4bit,B4-lite,4096,144,1.0,3200,13780.0,2700,119.2
compact_7b_4bit,B4-lite,6144,144,0.875,3200,13780.0,2700,119.2
compact_7b_4bit,B5-lite,2048,144,1.0,3200,11975.0,895,95.87
compact_7b_4bit,B5-lite,4096,144,1.0,3200,11975.0,895,95.87
compact_7b_4bit,B5-lite,6144,144,1.0,3200,11975.0,895,95.87
compact_7b_4bit,B7-lite,2048,144,1.0,3200,11433.0,325,95.87
compact_7b_4bit,B7-lite,4096,144,1.0,3200,11433.0,325,95.87
compact_7b_4bit,B7-lite,6144,144,1.0,3200,11433.0,325,95.87
heavy_13b_4bit,B0,2048,2,1.0,800,15996.0,0.0,50.8
heavy_13b_4bit,B0,4096,2,1.0,800,15996.0,0.0,50.8
heavy_13b_4bit,B0,6144,2,1.0,800,15996.0,0.0,50.8
heavy_13b_4bit,B1,2048,2,0.5,7346,20054.52,0.0,122.81
heavy_13b_4bit,B1,4096,2,0.5,7346,20054.52,0.0,122.81
heavy_13b_4bit,B1,6144,2,0.0,7346,20054.52,0.0,122.81
heavy_13b_4bit,B2,2048,12,1.0,3200,17484.0,0.0,77.2
heavy_13b_4bit,B2,4096,12,0.8333,3200,17484.0,0.0,77.2
heavy_13b_4bit,B2,6144,12,0.3333,3200,17484.0,0.0,77.2
heavy_13b_4bit,B4-lite,2048,144,0.6875,3200,20280.0,2700,119.2
heavy_13b_4bit,B4-lite,4096,144,0.3333,3200,20280.0,2700,119.2
heavy_13b_4bit,B4-lite,6144,144,0.0,3200,20280.0,2700,119.2
heavy_13b_4bit,B5-lite,2048,144,0.9792,3200,18475.0,895,95.87
heavy_13b_4bit,B5-lite,4096,144,0.6875,3200,18475.0,895,95.87
heavy_13b_4bit,B5-lite,6144,144,0.0417,3200,18475.0,895,95.87
heavy_13b_4bit,B7-lite,2048,144,1.0,3200,17933.0,325,95.87
heavy_13b_4bit,B7-lite,4096,144,1.0,2944,17759.61,315,92.16
heavy_13b_4bit,B7-lite,6144,144,1.0,1600,16770.08,203.75,71.38
mid_7b_vlm,B0,2048,2,1.0,800,12496.0,0.0,50.8
mid_7b_vlm,B0,4096,2,1.0,800,12496.0,0.0,50.8
mid_7b_vlm,B0,6144,2,1.0,800,12496.0,0.0,50.8
mid_7b_vlm,B1,2048,2,1.0,7346,16554.52,0.0,122.81
mid_7b_vlm,B1,4096,2,1.0,7346,16554.52,0.0,122.81
mid_7b_vlm,B1,6144,2,0.5,7346,16554.52,0.0,122.81
mid_7b_vlm,B2,2048,12,1.0,3200,13984.0,0.0,77.2
mid_7b_vlm,B2,4096,12,1.0,3200,13984.0,0.0,77.2
mid_7b_vlm,B2,6144,12,1.0,3200,13984.0,0.0,77.2
mid_7b_vlm,B4-lite,2048,144,0.9583,3200,16780.0,2700,119.2
mid_7b_vlm,B4-lite,4096,144,0.8125,3200,16780.0,2700,119.2
mid_7b_vlm,B4-lite,6144,144,0.5833,3200,16780.0,2700,119.2
mid_7b_vlm,B5-lite,2048,144,1.0,3200,14975.0,895,95.87
mid_7b_vlm,B5-lite,4096,144,1.0,3200,14975.0,895,95.87
mid_7b_vlm,B5-lite,6144,144,0.9583,3200,14975.0,895,95.87
mid_7b_vlm,B7-lite,2048,144,1.0,3200,14433.0,325,95.87
mid_7b_vlm,B7-lite,4096,144,1.0,3200,14433.0,325,95.87
mid_7b_vlm,B7-lite,6144,144,1.0,3200,14433.0,325,95.87
