run_id,baseline,model_profile,model_name,base_model_memory_mb,reserve_target_mb,full_res,global_res,roi_res,roi_count_requested,roi_count_effective,adapter_count,active_top_k_requested,active_top_k_effective,adapter_structure,visual_tokens,visual_memory_mb,resident_adapter_memory_mb,temporary_load_buffer_mb,estimated_peak_memory_mb,estimated_peak_memory_gb,reserve_pass,reserve_headroom_mb,load_count,evict_count,hold_count,latency_proxy_ms,policy_trace
costsim-00001,B0,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,0,0,0,0,0,none,576,357.12,0.0,0.0,9357.12,9.138,True,11634.88,0,0,0,48.34,n/a
costsim-00002,B0,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,0,0,0,0,0,none,1024,634.88,0.0,0.0,9634.88,9.409,True,11357.12,0,0,0,53.26,n/a
costsim-00003,B1,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1024x1024,336x336,336x336,0,0,0,0,0,none,5476,3395.12,0.0,0.0,12395.12,12.105,True,8596.88,0,0,0,102.24,n/a
costsim-00004,B1,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,0,0,0,0,0,none,9216,5713.92,0.0,0.0,14713.92,14.369,True,6278.08,0,0,0,143.38,n/a
costsim-00005,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,0,0,0,none,1152,714.24,0.0,0.0,9714.24,9.487,True,11277.76,0,0,0,54.67,n/a
costsim-00006,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,0,0,0,none,2304,1428.48,0.0,0.0,10428.48,10.184,True,10563.52,0,0,0,67.34,n/a
costsim-00007,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,0,0,0,none,3456,2142.72,0.0,0.0,11142.72,10.882,True,9849.28,0,0,0,80.02,n/a
costsim-00008,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,0,0,0,none,1600,992.0,0.0,0.0,9992.0,9.758,True,11000.0,0,0,0,59.6,n/a
costsim-00009,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,0,0,0,none,3648,2261.76,0.0,0.0,11261.76,10.998,True,9730.24,0,0,0,82.13,n/a
costsim-00010,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,0,0,0,none,5696,3531.52,0.0,0.0,12531.52,12.238,True,8460.48,0,0,0,104.66,n/a
costsim-00011,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,1,1,0,0,0,none,1600,992.0,0.0,0.0,9992.0,9.758,True,11000.0,0,0,0,59.6,n/a
costsim-00012,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,3,3,0,0,0,none,2752,1706.24,0.0,0.0,10706.24,10.455,True,10285.76,0,0,0,72.27,n/a
costsim-00013,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,336x336,5,5,0,0,0,none,3904,2420.48,0.0,0.0,11420.48,11.153,True,9571.52,0,0,0,84.94,n/a
costsim-00014,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,448x448,1,1,0,0,0,none,2048,1269.76,0.0,0.0,10269.76,10.029,True,10722.24,0,0,0,64.53,n/a
costsim-00015,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,448x448,3,3,0,0,0,none,4096,2539.52,0.0,0.0,11539.52,11.269,True,9452.48,0,0,0,87.06,n/a
costsim-00016,B2,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,448x448,448x448,5,5,0,0,0,none,6144,3809.28,0.0,0.0,12809.28,12.509,True,8182.72,0,0,0,109.58,n/a
costsim-00017,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,4,1,1,independent_all_resident,1152,714.24,720,96,10530.24,10.283,True,10461.76,1,0,0,72.67,n/a
costsim-00018,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,4,2,2,independent_all_resident,1152,714.24,720,96,10530.24,10.283,True,10461.76,2,0,0,90.67,n/a
costsim-00019,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,4,4,4,independent_all_resident,1152,714.24,720,96,10530.24,10.283,True,10461.76,4,0,0,126.67,n/a
costsim-00020,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,8,1,1,independent_all_resident,1152,714.24,1440,96,11250.24,10.987,True,9741.76,1,0,0,72.67,n/a
costsim-00021,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,8,2,2,independent_all_resident,1152,714.24,1440,96,11250.24,10.987,True,9741.76,2,0,0,90.67,n/a
costsim-00022,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,8,4,4,independent_all_resident,1152,714.24,1440,96,11250.24,10.987,True,9741.76,4,0,0,126.67,n/a
costsim-00023,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,16,1,1,independent_all_resident,1152,714.24,2880,96,12690.24,12.393,True,8301.76,1,0,0,72.67,n/a
